gender,rok urodzenia,liczba osob,usertype
1,1951,562,Subscriber
2,1951,34,Subscriber
1,1951,5,Customer
2,1951,5,Customer
2,1952,138,Subscriber
1,1952,417,Subscriber
1,1952,3,Customer
1,1953,158,Subscriber
2,1953,838,Subscriber
1,1953,1,Customer
1,1954,1153,Subscriber
2,1954,461,Subscriber
2,1954,1,Customer
1,1954,3,Customer
1,1955,381,Subscriber
2,1955,95,Subscriber
1,1955,6,Customer
2,1955,4,Customer
1,1956,2255,Subscriber
2,1956,289,Subscriber
2,1956,15,Customer
1,1956,3,Customer
1,1957,757,Subscriber
2,1957,226,Subscriber
1,1957,14,Customer
2,1957,6,Customer
1,1958,3214,Subscriber
2,1958,274,Subscriber
1,1958,34,Customer
2,1958,4,Customer
1,1959,1308,Subscriber
2,1959,546,Subscriber
1,1959,40,Customer
2,1959,35,Customer
1,1960,2570,Subscriber
2,1960,69,Subscriber
0,1960,2,Subscriber
1,1960,23,Customer
2,1960,10,Customer
1,1961,1173,Subscriber
2,1961,386,Subscriber
1,1961,52,Customer
2,1961,11,Customer
1,1962,3240,Subscriber
2,1962,541,Subscriber
1,1962,32,Customer
0,1962,3,Subscriber
2,1962,13,Customer
1,1963,2631,Subscriber
2,1963,838,Subscriber
2,1963,22,Customer
1,1963,53,Customer
0,1963,1,Subscriber
1,1964,3066,Subscriber
2,1964,804,Subscriber
2,1964,21,Customer
1,1964,53,Customer
1,1965,1476,Subscriber
2,1965,389,Subscriber
1,1965,36,Customer
2,1965,27,Customer
0,1965,1,Subscriber
1,1966,2388,Subscriber
2,1966,215,Subscriber
2,1966,18,Customer
1,1966,38,Customer
1,1967,2753,Subscriber
2,1967,699,Subscriber
1,1967,47,Customer
2,1967,32,Customer
1,1968,3944,Subscriber
2,1968,927,Subscriber
0,1968,111,Subscriber
1,1968,68,Customer
2,1968,13,Customer
0,1969,17970,Customer
1,1969,3715,Subscriber
0,1969,4268,Subscriber
2,1969,510,Subscriber
2,1969,17,Customer
1,1969,46,Customer
