godzina,month,weekend,liczba_tras,usertype,student
0,6,TRUE,128,Subscriber,FALSE
0,8,FALSE,23,Subscriber,TRUE
0,9,FALSE,124,Subscriber,FALSE
0,2,TRUE,44,Subscriber,FALSE
0,10,TRUE,5,Customer,TRUE
0,5,TRUE,83,Subscriber,FALSE
0,10,TRUE,79,Subscriber,FALSE
0,9,FALSE,25,Customer,FALSE
0,6,TRUE,27,Subscriber,TRUE
0,6,FALSE,85,Subscriber,FALSE
0,4,TRUE,10,Customer,FALSE
0,7,FALSE,127,Subscriber,FALSE
0,1,FALSE,44,Subscriber,FALSE
0,5,FALSE,85,Subscriber,FALSE
0,11,FALSE,81,Subscriber,FALSE
0,5,FALSE,11,Subscriber,TRUE
0,11,TRUE,12,Subscriber,TRUE
0,4,FALSE,81,Subscriber,FALSE
0,5,TRUE,22,Customer,FALSE
0,8,TRUE,109,Subscriber,FALSE
0,10,FALSE,116,Subscriber,FALSE
0,8,FALSE,34,Customer,FALSE
0,9,TRUE,27,Subscriber,TRUE
0,12,TRUE,9,Subscriber,TRUE
0,4,TRUE,72,Subscriber,FALSE
0,2,FALSE,45,Subscriber,FALSE
0,3,FALSE,54,Subscriber,FALSE
0,7,FALSE,33,Subscriber,TRUE
0,3,TRUE,64,Subscriber,FALSE
0,9,TRUE,110,Subscriber,FALSE
0,11,TRUE,60,Subscriber,FALSE
0,8,TRUE,26,Subscriber,TRUE
0,10,FALSE,24,Customer,FALSE
0,10,TRUE,14,Subscriber,TRUE
0,12,TRUE,39,Subscriber,FALSE
0,8,FALSE,107,Subscriber,FALSE
0,1,TRUE,31,Subscriber,FALSE
0,7,TRUE,14,Subscriber,TRUE
0,12,FALSE,70,Subscriber,FALSE
0,7,TRUE,81,Subscriber,FALSE
0,3,FALSE,11,Subscriber,TRUE
0,9,FALSE,21,Subscriber,TRUE
0,10,FALSE,17,Subscriber,TRUE
0,6,FALSE,12,Subscriber,TRUE
0,5,TRUE,11,Subscriber,TRUE
0,11,FALSE,9,Subscriber,TRUE
0,9,TRUE,36,Customer,FALSE
0,1,TRUE,6,Subscriber,TRUE
0,4,FALSE,9,Subscriber,TRUE
0,3,TRUE,10,Subscriber,TRUE
