weekend,tydzien,srednia
FALSE,2019-01-01,431
FALSE,2019-01-08,858.8
TRUE,2019-01-08,204.5
TRUE,2019-01-15,204.5
FALSE,2019-01-15,808.8
FALSE,2019-01-22,652.4
TRUE,2019-01-22,331.5
FALSE,2019-01-29,709.2
TRUE,2019-01-29,484
FALSE,2019-02-05,673
TRUE,2019-02-05,446.5
FALSE,2019-02-12,719.4
TRUE,2019-02-12,443
FALSE,2019-02-19,739.8
TRUE,2019-02-19,456.5
FALSE,2019-02-26,706.4
TRUE,2019-02-26,464.5
FALSE,2019-03-05,673.6
TRUE,2019-03-05,343
FALSE,2019-03-12,836.4
TRUE,2019-03-12,241.5
TRUE,2019-12-24,241.5
FALSE,2019-03-19,958.4
TRUE,2019-03-19,648
FALSE,2019-03-26,834.2
TRUE,2019-03-26,669.5
FALSE,2019-04-02,1013.4
TRUE,2019-04-02,693
FALSE,2019-04-09,1127.8
TRUE,2019-04-09,996
FALSE,2019-04-16,1164.4
TRUE,2019-04-16,1060
FALSE,2019-04-23,1239.6
TRUE,2019-04-23,700
FALSE,2019-04-30,1235.8
TRUE,2019-04-30,821
FALSE,2019-05-07,1323.4
TRUE,2019-05-07,697.5
FALSE,2019-05-14,1137.2
TRUE,2019-05-14,683.5
FALSE,2019-05-21,1459.4
TRUE,2019-05-21,1253
FALSE,2019-05-28,1242.2
TRUE,2019-05-28,887
FALSE,2019-06-04,1251.4
TRUE,2019-06-04,1229.5
FALSE,2019-06-11,1354.2
TRUE,2019-06-11,1273.5
FALSE,2019-06-18,1243.2
TRUE,2019-06-18,1105
FALSE,2019-06-25,1287.4
TRUE,2019-06-25,1323.5
FALSE,2019-07-02,1561.4
TRUE,2019-07-02,1267.5
FALSE,2019-07-09,1394.4
TRUE,2019-07-09,1001.5
FALSE,2019-07-16,1555.2
TRUE,2019-07-16,1305
FALSE,2019-07-23,1376.6
TRUE,2019-07-23,952
FALSE,2019-07-30,1685
TRUE,2019-07-30,1268
FALSE,2019-08-06,1710.6
TRUE,2019-08-06,1329.5
FALSE,2019-08-13,1589.4
TRUE,2019-08-13,1399
FALSE,2019-08-20,1727.4
TRUE,2019-08-20,1197
FALSE,2019-08-27,1600
TRUE,2019-08-27,1422
FALSE,2019-09-03,1526.4
TRUE,2019-09-03,1206
FALSE,2019-09-10,1698
TRUE,2019-09-10,1406
FALSE,2019-09-17,1747.6
TRUE,2019-09-17,1448
FALSE,2019-09-24,1830.6
TRUE,2019-09-24,1627
FALSE,2019-10-01,1823.2
TRUE,2019-10-01,1451
FALSE,2019-10-08,1496.4
TRUE,2019-10-08,1203
FALSE,2019-10-15,1579.4
TRUE,2019-10-15,1200
FALSE,2019-10-22,1373.4
TRUE,2019-10-22,797.5
FALSE,2019-10-29,1524.4
TRUE,2019-10-29,816
FALSE,2019-11-05,1378
TRUE,2019-11-05,996.5
FALSE,2019-11-12,1187.8
TRUE,2019-11-12,702.5
FALSE,2019-11-19,1122.8
TRUE,2019-11-19,651
FALSE,2019-11-26,1284.6
TRUE,2019-11-26,550
FALSE,2019-12-03,658
TRUE,2019-12-03,395
FALSE,2019-12-10,848.4
TRUE,2019-12-10,615.5
FALSE,2019-12-17,754.6
TRUE,2019-12-17,526.5
FALSE,2019-12-24,704.4
FALSE,2019-12-31,519
TRUE,2019-12-31,465
