hour,0-15min.hour,0-15min.N,15-30min.hour,15-30min.N,30-45min.hour,30-45min.N,over 45min.hour,over 45min.N
1,0,69,0,25,0,6,0,3
2,1,35,1,16,1,5,1,1
3,2,31,2,6,2,2,2,3
4,3,12,3,8,4,2,4,2
5,4,18,4,6,6,6,5,1
6,5,53,5,16,7,25,6,7
7,6,145,6,35,8,41,7,2
8,7,323,7,98,9,27,8,8
9,8,575,8,190,10,27,9,9
10,9,413,9,151,11,34,10,12
11,10,279,10,104,12,27,11,17
12,11,296,11,128,13,35,12,15
13,12,354,12,150,14,50,13,19
14,13,353,13,151,15,40,14,21
15,14,345,14,161,16,59,15,22
16,15,342,15,189,17,82,16,32
17,16,435,16,192,18,60,17,19
18,17,631,17,285,19,62,18,13
19,18,577,18,249,20,26,19,11
20,19,437,19,197,21,29,20,6
21,20,300,20,117,22,17,21,2
22,21,201,21,74,23,14,22,2
23,22,135,22,61,0,6,23,3
24,23,86,23,40,1,5,0,3
